LAT,LON
-24.95669924562652, -53.463169584141205
-24.72487522897735, -53.73629891781729
-24.552356697955588, -54.04234080166934
-24.077991717329393, -54.24221957461298
-24.857935603962762, -54.320189351597456
-25.29049487809204, -54.09935903916307
-25.518874843468303, -54.56219251153115
-25.095355943665112, -52.863655949731765
-25.397279863527615, -52.409106431154804
-25.38560064650244, -51.46317718967033
-25.556200840096075, -51.481245601418614
-25.098216551402952, -50.14609393895754
-25.478104437048664, -50.650211476730135
-25.437535496404998, -49.28153546398154
-25.593823475238, -49.4065438798275
-25.516218477334792, -48.50904574456719
-25.817883808340284, -48.53475577523167
-26.302757963837955, -48.85289017657625
-24.3274174137117, -50.619494315453544
-23.426239907246508, -51.90297797706749
-23.31740944854129, -51.15316535117719
-23.553584175757774, -51.462927259228714
-24.045236150975484, -52.380286749847436
-23.762746673943262, -53.35815576172756
-23.088021406793175, -52.44113794751017
-23.055405840335958, -54.19249114728078
-22.52992195505526, -55.67302164706354
-22.228893819106695, -54.8171742361977
-22.638062177169232, -54.81916905169937
-23.973316861558153, -55.039283505804306
-22.295462492185845, -53.805675776332436
-22.12824132560566, -51.354449670120694
-22.98074797260891, -49.85284881108087
-22.216991240440084, -49.964159358655365
-22.320300398016656, -49.086151466964886
-23.474188552583666, -47.470719792302056
-23.550843778532712, -46.602351740423295
-22.904232385676572, -47.10704119961298
-21.162858926571133, -50.25908446021387
-21.893449329490515, -47.841284727450834
-21.094804917898532, -47.70109376645729
-24.46051067494701, -47.83499158350407
-23.963599698508858, -48.85523235236207
-23.07414827664923, -48.914996674213285
-22.85893865402017, -48.465480677785514
-25.187244513740644, -57.61372624305354
-25.42476033398246, -55.99735345370351
-27.22100231356133, -55.84173220492083
-26.861404602290136, -58.19836608162046
-26.171816138095366, -58.200868656156274
-24.44396772754873, -55.67844345290468
-23.48063370712166, -57.387687877001476
-23.784243733469616, -56.53043405174283
-21.858649404734415, -60.59698794421815
-22.34979071220164, -60.14605005516363
-21.6642769838618, -57.83928514154897
-20.43028342321997, -54.66612576938811
-20.74084074287397, -51.635011803776116
-23.951685736616145, -46.3463696160732
-22.901182621288957, -43.204715045790216
-22.50946069544339, -44.06083639404072
-22.512489222964295, -43.1776320555406
-23.42939667345981, -45.078188942817704
-23.61549621671795, -45.43393830473467
-23.20982619111074, -45.878766252611285
-23.03472754308271, -45.54305111471619
-22.71693025238285, -45.58667490194553
-26.57876667438356, -53.46370741938457
-25.99745972694631, -53.06390966616927
-26.464345878942108, -51.973822636013274
-27.06775424520091, -52.64046895080669
-26.748579273022468, -50.96992158305898
-27.795229307781828, -50.31513923075183
-27.160312765939846, -49.667107815219055
-26.877720350318587, -49.07235873424798
-27.53853937851312, -48.624050216193226
-28.61790470267673, -49.30243509030373
-28.26571505328133, -49.90264834087265
-26.277191029328606, -53.581305310523234
-27.584042271642023, -52.22931426458394
-28.212132464869665, -52.43305262116381
-28.344343459859584, -53.94210695327634
-27.293090389570672, -53.41417204826863
-28.689505754113203, -56.03618190500019
-29.181804481327365, -54.86220604056568
-29.767214473001953, -57.06787765688748
-29.755326673617347, -55.819414977769554
-29.64731905146795, -53.83654409398118
-30.81759340354796, -55.56584338911863
-31.312171969587766, -54.098540519802896
-31.737341322021148, -52.28067941730268
-32.00604492026355, -52.007725973084625
-32.52512668101711, -53.34491388482661
-33.721104418502186, -53.48863725031545
-31.093591961865318, -50.89937540660497
-30.85426529805705, -51.79114736886576
-29.992450729056632, -51.13859600951854
-29.69390259640765, -52.44520223886468
-29.135530763330298, -51.191991559367736
-28.809078759405995, -52.51185135907101
-28.469253309489293, -50.92460106177189
-29.33168947253112, -49.72469114551672
-29.954272200618576, -50.20361547970595
-30.22927901543803, -50.531528524034805
-30.6998620135826, -50.54455424301792
-31.50316547290596, -60.597509552792005
-34.4535705668732, -58.51273432953502
-32.8616942603863, -60.65981501443094
-34.8245729644905, -56.1517914549747
-32.45242533830746, -58.32820724367762
-32.30406787068986, -54.099891056502905
-34.909041882012, -54.92591101442078
-34.45756314128518, -54.334402073304645
-34.021296124493276, -53.51359552145065
-33.364355075092426, -56.5385893664343
-31.386986057181026, -57.94707358904313
-31.712077781226377, -56.05151951480465
-29.13866596302369, -59.83396121877271
-26.39735710133518, -54.53427369279507
-24.14854791394061, -60.68993773141422
-23.560685555234084, -60.786057373390314

